Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        020602         Dartmouth - à 1,6 km en amont du Ruisseau du Pas de Dame                                                                                       
Bassin versant: 626 km²        Régime: Naturel                                           
Coordonnées:    (NAD83) 48° 58' 40" // -64° 41' 59"

Date de création du fichier: 2019-11-29 07:10
Particularité(s):
- 
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
020602         1970/10/01          7.220          MC
020602         1970/10/02          8.300          MC
020602         1970/10/03          8.640          MC
020602         1970/10/04          9.660          MC
020602         1970/10/05          15.00          MC
020602         1970/10/06          13.90          MC
020602         1970/10/07          12.30          MC
020602         1970/10/08          11.20          MC
020602         1970/10/09          11.00          MC
020602         1970/10/10          10.40          J
020602         1970/10/11          9.370          MC
020602         1970/10/12          8.890          MC
020602         1970/10/13          8.470          MC
020602         1970/10/14          8.240          MC
020602         1970/10/15          8.210          MC
020602         1970/10/16          9.880          MC
020602         1970/10/17          19.10          MC
020602         1970/10/18          23.40          MC
020602         1970/10/19          22.60          MC
020602         1970/10/20          19.90          MC
020602         1970/10/21          18.50          MC
020602         1970/10/22          18.10          MC
020602         1970/10/23          18.80          MC
020602         1970/10/24          26.40          MC
020602         1970/10/25          37.90          MC
020602         1970/10/26          34.50          MC
020602         1970/10/27          28.60          MC
020602         1970/10/28          25.10          MC
020602         1970/10/29          22.60          MC
020602         1970/10/30          20.60          MC
020602         1970/10/31          19.00          MC
020602         1970/11/01          17.70          MC
020602         1970/11/02          16.60          MC
020602         1970/11/03          15.70          MC
020602         1970/11/04          14.60          MC
020602         1970/11/05          13.80          MC
020602         1970/11/06          13.60          MC
020602         1970/11/07          12.60          MC
020602         1970/11/08          12.10          MC
020602         1970/11/09          10.40          MC
020602         1970/11/10          10.00          MC
020602         1970/11/11          10.00          MC
020602         1970/11/12          11.30          MC
020602         1970/11/13          11.60          MC
020602         1970/11/14          10.80          MC
020602         1970/11/15          9.970          MC
020602         1970/11/16          9.800          MC
020602         1970/11/17          9.290          MC
020602         1970/11/18          8.750          MC
020602         1970/11/19          7.730          MC
020602         1970/11/20          7.590          MC
020602         1970/11/21          8.240          MC
020602         1970/11/22          10.10          MC
020602         1970/11/23          9.710          MC
020602         1970/11/24          12.10          MC
020602         1970/11/25          11.30          MC
020602         1970/11/26          9.400          MC
020602         1970/11/27          8.950          MC
020602         1970/11/28          9.490          MC
020602         1970/11/29          9.260          MC
020602         1970/11/30          8.330          MC
020602         1970/12/01          7.650          R
020602         1970/12/02          7.990          R
020602         1970/12/03          8.500          R
020602         1970/12/04          6.650          R
020602         1970/12/05          6.230          R
020602         1970/12/06          5.830          R
020602         1970/12/07          5.550          R
020602         1970/12/08          5.380          R
020602         1970/12/09          5.150          R
020602         1970/12/10          5.010          R
020602         1970/12/11          4.840          R
020602         1970/12/12          4.670          R
020602         1970/12/13          4.530          R
020602         1970/12/14          4.390          R
020602         1970/12/15          4.280          R
020602         1970/12/16          4.160          R
020602         1970/12/17          4.020          R
020602         1970/12/18          3.910          R
020602         1970/12/19          3.820          R
020602         1970/12/20          3.740          R
020602         1970/12/21          3.650          R
020602         1970/12/22          3.600          R
020602         1970/12/23          3.540          R
020602         1970/12/24          3.430          R
020602         1970/12/25          3.370          R
020602         1970/12/26          3.450          R
020602         1970/12/27          3.600          R
020602         1970/12/28          3.600          R
020602         1970/12/29          3.450          R
020602         1970/12/30          3.370          R
020602         1970/12/31          3.310          R
020602         1971/01/01          3.170          R
020602         1971/01/02          3.110          R
020602         1971/01/03          3.060          R
020602         1971/01/04          2.970          R
020602         1971/01/05          2.830          R
020602         1971/01/06          2.780          R
020602         1971/01/07          2.690          R
020602         1971/01/08          2.610          R
020602         1971/01/09          2.550          R
020602         1971/01/10          2.460          R
020602         1971/01/11          2.410          R
020602         1971/01/12          2.350          R
020602         1971/01/13          2.270          R
020602         1971/01/14          2.240          R
020602         1971/01/15          2.180          R
020602         1971/01/16          2.150          R
020602         1971/01/17          2.100          R
020602         1971/01/18          2.070          R
020602         1971/01/19          2.010          J
020602         1971/01/20          1.980          R
020602         1971/01/21          1.930          R
020602         1971/01/22          1.900          R
020602         1971/01/23          1.870          R
020602         1971/01/24          1.840          R
020602         1971/01/25          1.810          R
020602         1971/01/26          1.780          R
020602         1971/01/27          1.760          R
020602         1971/01/28          1.730          R
020602         1971/01/29          1.730          R
020602         1971/01/30          1.700          R
020602         1971/01/31          1.670          R
020602         1971/02/01          1.640          R
020602         1971/02/02          1.610          R
020602         1971/02/03          1.610          R
020602         1971/02/04          1.610          R
020602         1971/02/05          1.590          R
020602         1971/02/06          1.590          R
020602         1971/02/07          1.590          R
020602         1971/02/08          1.590          R
020602         1971/02/09          1.610          R
020602         1971/02/10          1.780          R
020602         1971/02/11          1.870          R
020602         1971/02/12          1.840          R
020602         1971/02/13          1.810          R
020602         1971/02/14          1.780          R
020602         1971/02/15          1.780          R
020602         1971/02/16          1.760          R
020602         1971/02/17          1.760          R
020602         1971/02/18          1.730          R
020602         1971/02/19          1.730          R
020602         1971/02/20          1.700          R
020602         1971/02/21          1.700          R
020602         1971/02/22          1.700          R
020602         1971/02/23          1.700          R
020602         1971/02/24          1.700          R
020602         1971/02/25          1.670          J
020602         1971/02/26          1.700          R
020602         1971/02/27          1.760          R
020602         1971/02/28          1.760          R
020602         1971/03/01          1.810          R
020602         1971/03/02          1.730          R
020602         1971/03/03          1.640          R
020602         1971/03/04          1.640          R
020602         1971/03/05          1.590          R
020602         1971/03/06          1.670          R
020602         1971/03/07          1.730          R
020602         1971/03/08          1.840          R
020602         1971/03/09          1.900          R
020602         1971/03/10          1.930          R
020602         1971/03/11          1.870          R
020602         1971/03/12          1.840          R
020602         1971/03/13          1.840          R
020602         1971/03/14          1.900          R
020602         1971/03/15          1.950          R
020602         1971/03/16          1.980          R
020602         1971/03/17          2.010          R
020602         1971/03/18          2.120          MC
020602         1971/03/19          2.210          MC
020602         1971/03/20          2.290          MC
020602         1971/03/21          2.340          MC
020602         1971/03/22          2.330          MC
020602         1971/03/23          2.280          MC
020602         1971/03/24          2.150          MC
020602         1971/03/25          1.860          MC
020602         1971/03/26          1.990          MC
020602         1971/03/27          2.400          MC
020602         1971/03/28          1.980          J
020602         1971/03/29          1.890          MC
020602         1971/03/30          1.790          MC
020602         1971/03/31          1.760          MC
020602         1971/04/01          1.730          MC
020602         1971/04/02          1.690          MC
020602         1971/04/03          1.910          MC
020602         1971/04/04          2.860          MC
020602         1971/04/05          3.600          MC
020602         1971/04/06          7.530          MC
020602         1971/04/07          14.20          MC
020602         1971/04/08          14.50          MC
020602         1971/04/09          9.370          MC
020602         1971/04/10          9.400          MC
020602         1971/04/11          10.60          MC
020602         1971/04/12          10.60          MC
020602         1971/04/13          15.90          MC
020602         1971/04/14          45.30          MC
020602         1971/04/15          47.00          MC
020602         1971/04/16          103.0          MC
020602         1971/04/17          96.60          MC
020602         1971/04/18          70.20          MC
020602         1971/04/19          62.60          MC
020602         1971/04/20          57.20          MC
020602         1971/04/21          64.60          MC
020602         1971/04/22          92.30          MC
020602         1971/04/23          85.00          MC
020602         1971/04/24          67.70          MC
020602         1971/04/25          60.30          MC
020602         1971/04/26          53.50          MC
020602         1971/04/27          48.70          MC
020602         1971/04/28          45.30          MC
020602         1971/04/29          47.30          MC
020602         1971/04/30          50.10          MC
020602         1971/05/01          53.00          MC
020602         1971/05/02          53.00          MC
020602         1971/05/03          50.40          MC
020602         1971/05/04          99.70          MC
020602         1971/05/05          140.0          MC
020602         1971/05/06          101.0          MC
020602         1971/05/07          89.50          MC
020602         1971/05/08          90.00          MC
020602         1971/05/09          104.0          MC
020602         1971/05/10          130.0          MC
020602         1971/05/11          149.0          MC
020602         1971/05/12          194.0          MC
020602         1971/05/13          241.0          MC
020602         1971/05/14          190.0          J
020602         1971/05/15          141.0          MC
020602         1971/05/16          130.0          MC
020602         1971/05/17          160.0          MC
020602         1971/05/18          136.0          MC
020602         1971/05/19          135.0          MC
020602         1971/05/20          147.0          MC
020602         1971/05/21          160.0          MC
020602         1971/05/22          126.0          MC
020602         1971/05/23          112.0          MC
020602         1971/05/24          74.20          MC
020602         1971/05/25          53.50          MC
020602         1971/05/26          42.80          MC
020602         1971/05/27          36.20          MC
020602         1971/05/28          32.60          MC
020602         1971/05/29          30.00          MC
020602         1971/05/30          28.90          MC
020602         1971/05/31          26.60          MC
020602         1971/06/01          23.10          MC
020602         1971/06/02          20.40          MC
020602         1971/06/03          18.60          MC
020602         1971/06/04          17.20          MC
020602         1971/06/05          15.70          MC
020602         1971/06/06          14.40          MC
020602         1971/06/07          13.00          MC
020602         1971/06/08          12.70          MC
020602         1971/06/09          24.80          MC
020602         1971/06/10          27.20          MC
020602         1971/06/11          23.00          MC
020602         1971/06/12          21.00          MC
020602         1971/06/13          19.30          MC
020602         1971/06/14          18.90          MC
020602         1971/06/15          17.30          MC
020602         1971/06/16          15.70          MC
020602         1971/06/17          14.30          MC
020602         1971/06/18          13.10          MC
020602         1971/06/19          12.10          MC
020602         1971/06/20          11.10          MC
020602         1971/06/21          10.30          MC
020602         1971/06/22          9.430          MC
020602         1971/06/23          8.550          MC
020602         1971/06/24          8.100          MC
020602         1971/06/25          10.20          MC
020602         1971/06/26          8.550          MC
020602         1971/06/27          7.250          MC
020602         1971/06/28          6.460          MC
020602         1971/06/29          5.830          MC
020602         1971/06/30          5.380          MC
020602         1971/07/01          5.010          MC
020602         1971/07/02          4.930          MC
020602         1971/07/03          4.760          MC
020602         1971/07/04          4.730          MC
020602         1971/07/05          4.330          MC
020602         1971/07/06          4.130          MC
020602         1971/07/07          4.500          MC
020602         1971/07/08          4.560          MC
020602         1971/07/09          4.420          MC
020602         1971/07/10          4.280          J
020602         1971/07/11          5.750          MC
020602         1971/07/12          4.790          MC
020602         1971/07/13          4.020          MC
020602         1971/07/14          3.650          MC
020602         1971/07/15          3.960          MC
020602         1971/07/16          4.470          MC
020602         1971/07/17          7.140          MC
020602         1971/07/18          9.490          MC
020602         1971/07/19          8.440          MC
020602         1971/07/20          7.080          MC
020602         1971/07/21          6.970          MC
020602         1971/07/22          5.890          MC
020602         1971/07/23          4.930          MC
020602         1971/07/24          4.390          MC
020602         1971/07/25          4.300          MC
020602         1971/07/26          3.820          MC
020602         1971/07/27          3.400          MC
020602         1971/07/28          3.110          MC
020602         1971/07/29          2.860          MC
020602         1971/07/30          2.630          MC
020602         1971/07/31          2.480          MC
020602         1971/08/01          2.550          MC
020602         1971/08/02          2.400          MC
020602         1971/08/03          2.200          MC
020602         1971/08/04          2.110          MC
020602         1971/08/05          2.000          MC
020602         1971/08/06          1.850          MC
020602         1971/08/07          1.760          MC
020602         1971/08/08          1.680          MC
020602         1971/08/09          1.670          MC
020602         1971/08/10          1.690          MC
020602         1971/08/11          1.880          MC
020602         1971/08/12          1.850          MC
020602         1971/08/13          1.750          J
020602         1971/08/14          1.640          MC
020602         1971/08/15          2.740          MC
020602         1971/08/16          3.710          MC
020602         1971/08/17          2.830          MC
020602         1971/08/18          2.660          MC
020602         1971/08/19          2.380          MC
020602         1971/08/20          2.370          MC
020602         1971/08/21          5.010          MC
020602         1971/08/22          4.330          MC
020602         1971/08/23          5.350          MC
020602         1971/08/24          12.10          MC
020602         1971/08/25          8.410          MC
020602         1971/08/26          6.090          MC
020602         1971/08/27          4.840          MC
020602         1971/08/28          4.470          MC
020602         1971/08/29          9.340          MC
020602         1971/08/30          10.90          MC
020602         1971/08/31          8.520          MC
020602         1971/09/01          7.110          MC
020602         1971/09/02          6.060          MC
020602         1971/09/03          5.270          MC
020602         1971/09/04          4.840          MC
020602         1971/09/05          6.630          MC
020602         1971/09/06          6.600          MC
020602         1971/09/07          5.550          MC
020602         1971/09/08          4.900          MC
020602         1971/09/09          4.360          MC
020602         1971/09/10          3.850          MC
020602         1971/09/11          3.510          MC
020602         1971/09/12          3.260          MC
020602         1971/09/13          3.090          MC
020602         1971/09/14          3.280          MC
020602         1971/09/15          3.710          MC
020602         1971/09/16          3.600          MC
020602         1971/09/17          3.280          MC
020602         1971/09/18          3.200          MC
020602         1971/09/19          3.200          MC
020602         1971/09/20          2.920          MC
020602         1971/09/21          2.770          MC
020602         1971/09/22          2.560          MC
020602         1971/09/23          2.360          J
020602         1971/09/24          2.220          MC
020602         1971/09/25          2.100          MC
020602         1971/09/26          1.990          MC
020602         1971/09/27          1.890          MC
020602         1971/09/28          1.780          MC
020602         1971/09/29          1.740          MC
020602         1971/09/30          1.740          MC
020602         1971/10/01          1.720          MC
020602         1971/10/02          3.230          MC
020602         1971/10/03          7.050          MC
020602         1971/10/04          6.740          MC
020602         1971/10/05          5.550          MC
020602         1971/10/06          4.840          MC
020602         1971/10/07          4.450          MC
020602         1971/10/08          4.500          MC
020602         1971/10/09          4.250          MC
020602         1971/10/10          3.880          MC
020602         1971/10/11          9.660          MC
020602         1971/10/12          11.60          MC
020602         1971/10/13          9.430          MC
020602         1971/10/14          8.210          MC
020602         1971/10/15          7.480          MC
020602         1971/10/16          6.940          MC
020602         1971/10/17          6.310          MC
020602         1971/10/18          5.830          MC
020602         1971/10/19          5.950          MC
020602         1971/10/20          5.800          MC
020602         1971/10/21          5.520          MC
020602         1971/10/22          5.300          MC
020602         1971/10/23          5.180          MC
020602         1971/10/24          5.040          MC
020602         1971/10/25          4.700          MC
020602         1971/10/26          4.670          MC
020602         1971/10/27          4.670          MC
020602         1971/10/28          4.640          MC
020602         1971/10/29          4.220          MC
020602         1971/10/30          3.940          MC
020602         1971/10/31          3.620          MC
020602         1971/11/01          3.450          MC
020602         1971/11/02          3.430          MC
020602         1971/11/03          3.370          MC
020602         1971/11/04          3.620          MC
020602         1971/11/05          4.360          MC
020602         1971/11/06          4.080          MC
020602         1971/11/07          3.790          MC
020602         1971/11/08          4.080          MC
020602         1971/11/09          3.940          MC
020602         1971/11/10          3.260          MC
020602         1971/11/11          2.520          MC
020602         1971/11/12          3.430          MC
020602         1971/11/13          3.260          MC
020602         1971/11/14          2.700          MC
020602         1971/11/15          1.520          MC
020602         1971/11/16          2.100          MC
020602         1971/11/17          2.970          MC
020602         1971/11/18          2.940          MC
020602         1971/11/19          2.710          MC
020602         1971/11/20          3.260          MC
020602         1971/11/21          3.310          MC
020602         1971/11/22          3.000          MC
020602         1971/11/23          2.490          MC
020602         1971/11/24          1.880          MC
020602         1971/11/25          1.520          MC
020602         1971/11/26          3.200          MC
020602         1971/11/27          8.350          MC
020602         1971/11/28          8.330          MC
020602         1971/11/29          7.280          MC
020602         1971/11/30          6.200          MC
020602         1971/12/01          5.520          MC
020602         1971/12/02          5.100          R
020602         1971/12/03          4.810          R
020602         1971/12/04          4.390          R
020602         1971/12/05          4.110          R
020602         1971/12/06          3.820          R
020602         1971/12/07          3.600          R
020602         1971/12/08          3.450          R
020602         1971/12/09          3.340          R
020602         1971/12/10          3.430          R
020602         1971/12/11          3.850          R
020602         1971/12/12          3.880          R
020602         1971/12/13          3.680          R
020602         1971/12/14          3.620          R
020602         1971/12/15          3.540          R
020602         1971/12/16          3.480          R
020602         1971/12/17          3.370          R
020602         1971/12/18          3.230          R
020602         1971/12/19          3.090          R
020602         1971/12/20          2.940          R
020602         1971/12/21          3.310          R
020602         1971/12/22          2.630          R
020602         1971/12/23          2.550          R
020602         1971/12/24          2.440          R
020602         1971/12/25          2.320          R
020602         1971/12/26          2.270          R
020602         1971/12/27          2.240          R
020602         1971/12/28          2.210          R
020602         1971/12/29          2.150          R
020602         1971/12/30          2.120          R
020602         1971/12/31          2.100          R
020602         1972/01/01          2.040          R
020602         1972/01/02          2.010          R
020602         1972/01/03          1.980          R
020602         1972/01/04          1.980          R
020602         1972/01/05          1.930          R
020602         1972/01/06          1.900          R
020602         1972/01/07          1.870          R
020602         1972/01/08          1.840          R
020602         1972/01/09          1.810          R
020602         1972/01/10          1.840          R
020602         1972/01/11          2.040          R
020602         1972/01/12          2.010          R
020602         1972/01/13          1.950          R
020602         1972/01/14          1.930          R
020602         1972/01/15          1.900          J
020602         1972/01/16          1.870          R
020602         1972/01/17          1.840          R
020602         1972/01/18          1.810          R
020602         1972/01/19          1.810          R
020602         1972/01/20          1.760          R
020602         1972/01/21          1.730          R
020602         1972/01/22          1.700          R
020602         1972/01/23          1.700          R
020602         1972/01/24          1.640          R
020602         1972/01/25          1.560          R
020602         1972/01/26          1.470          R
020602         1972/01/27          1.390          R
020602         1972/01/28          1.330          R
020602         1972/01/29          1.300          R
020602         1972/01/30          1.270          R
020602         1972/01/31          1.250          R
020602         1972/02/01          1.220          R
020602         1972/02/02          1.190          R
020602         1972/02/03          1.160          R
020602         1972/02/04          1.130          R
020602         1972/02/05          1.130          R
020602         1972/02/06          1.130          R
020602         1972/02/07          1.130          R
020602         1972/02/08          1.100          R
020602         1972/02/09          1.100          R
020602         1972/02/10          1.100          R
020602         1972/02/11          1.080          R
020602         1972/02/12          1.080          R
020602         1972/02/13          1.080          R
020602         1972/02/14          1.080          R
020602         1972/02/15          1.160          R
020602         1972/02/16          1.470          R
020602         1972/02/17          1.640          R
020602         1972/02/18          1.640          R
020602         1972/02/19          1.560          R
020602         1972/02/20          1.500          R
020602         1972/02/21          1.440          J
020602         1972/02/22          1.420          R
020602         1972/02/23          1.360          R
020602         1972/02/24          1.330          R
020602         1972/02/25          1.300          R
020602         1972/02/26          1.300          R
020602         1972/02/27          1.270          R
020602         1972/02/28          1.250          R
020602         1972/02/29          1.220          R
020602         1972/03/01          1.190          R
020602         1972/03/02          1.160          R
020602         1972/03/03          1.160          R
020602         1972/03/04          1.130          R
020602         1972/03/05          1.130          R
020602         1972/03/06          1.100          R
020602         1972/03/07          1.100          R
020602         1972/03/08          1.080          R
020602         1972/03/09          1.080          R
020602         1972/03/10          1.050          R
020602         1972/03/11          1.050          R
020602         1972/03/12          1.050          R
020602         1972/03/13          1.050          R
020602         1972/03/14          1.050          R
020602         1972/03/15          1.020          R
020602         1972/03/16          1.020          R
020602         1972/03/17          1.080          R
020602         1972/03/18          1.360          R
020602         1972/03/19          1.560          R
020602         1972/03/20          2.270          R
020602         1972/03/21          2.830          R
020602         1972/03/22          3.110          R
020602         1972/03/23          2.720          R
020602         1972/03/24          2.490          R
020602         1972/03/25          2.290          R
020602         1972/03/26          2.100          R
020602         1972/03/27          2.100          R
020602         1972/03/28          2.970          R
020602         1972/03/29          3.540          J
020602         1972/03/30          3.770          R
020602         1972/03/31          3.600          R
020602         1972/04/01          3.480          R
020602         1972/04/02          3.400          R
020602         1972/04/03          3.230          R
020602         1972/04/04          3.060          R
020602         1972/04/05          2.940          R
020602         1972/04/06          2.800          R
020602         1972/04/07          2.660          R
020602         1972/04/08          2.610          R
020602         1972/04/09          2.550          R
020602         1972/04/10          2.520          R
020602         1972/04/11          2.490          R
020602         1972/04/12          2.460          R
020602         1972/04/13          2.460          R
020602         1972/04/14          2.490          R
020602         1972/04/15          2.580          R
020602         1972/04/16          2.780          R
020602         1972/04/17          2.940          R
020602         1972/04/18          3.170          R
020602         1972/04/19          3.680          R
020602         1972/04/20          3.960          R
020602         1972/04/21          4.130          R
020602         1972/04/22          4.250          R
020602         1972/04/23          4.360          R
020602         1972/04/24          4.500          R
020602         1972/04/25          4.730          R
020602         1972/04/26          5.610          R
020602         1972/04/27          5.920          R
020602         1972/04/28          6.170          R
020602         1972/04/29          6.630          R
020602         1972/04/30          7.360          MC
020602         1972/05/01          12.00          MC
020602         1972/05/02          12.50          MC
020602         1972/05/03          11.90          MC
020602         1972/05/04          11.40          MC
020602         1972/05/05          11.80          MC
020602         1972/05/06          14.80          MC
020602         1972/05/07          21.90          MC
020602         1972/05/08          25.30          MC
020602         1972/05/09          24.70          MC
020602         1972/05/10          23.30          MC
020602         1972/05/11          22.20          MC
020602         1972/05/12          23.00          MC
020602         1972/05/13          24.50          MC
020602         1972/05/14          29.40          MC
020602         1972/05/15          62.30          MC
020602         1972/05/16          138.0          MC
020602         1972/05/17          172.0          MC
020602         1972/05/18          186.0          MC
020602         1972/05/19          166.0          MC
020602         1972/05/20          170.0          MC
020602         1972/05/21          223.0          MC
020602         1972/05/22          158.0          MC
020602         1972/05/23          120.0          MC
020602         1972/05/24          105.0          MC
020602         1972/05/25          77.90          MC
020602         1972/05/26          65.10          MC
020602         1972/05/27          75.00          MC
020602         1972/05/28          112.0          MC
020602         1972/05/29          129.0          MC
020602         1972/05/30          123.0          MC
020602         1972/05/31          119.0          MC
020602         1972/06/01          123.0          MC
020602         1972/06/02          111.0          MC
020602         1972/06/03          83.80          MC
020602         1972/06/04          61.40          MC
020602         1972/06/05          53.20          MC
020602         1972/06/06          39.60          MC
020602         1972/06/07          32.00          MC
020602         1972/06/08          27.40          MC
020602         1972/06/09          27.70          MC
020602         1972/06/10          35.70          MC
020602         1972/06/11          32.00          MC
020602         1972/06/12          27.00          MC
020602         1972/06/13          23.80          MC
020602         1972/06/14          21.00          MC
020602         1972/06/15          19.70          MC
020602         1972/06/16          18.40          MC
020602         1972/06/17          16.30          MC
020602         1972/06/18          14.70          MC
020602         1972/06/19          13.40          MC
020602         1972/06/20          12.20          MC
020602         1972/06/21          11.10          MC
020602         1972/06/22          10.50          MC
020602         1972/06/23          10.60          MC
020602         1972/06/24          10.70          MC
020602         1972/06/25          12.80          MC
020602         1972/06/26          15.10          J
020602         1972/06/27          12.90          MC
020602         1972/06/28          13.20          MC
020602         1972/06/29          12.50          MC
020602         1972/06/30          11.30          MC
020602         1972/07/01          10.20          MC
020602         1972/07/02          9.370          MC
020602         1972/07/03          9.060          MC
020602         1972/07/04          9.940          MC
020602         1972/07/05          10.10          MC
020602         1972/07/06          8.580          MC
020602         1972/07/07          7.650          MC
020602         1972/07/08          6.940          MC
020602         1972/07/09          6.710          MC
020602         1972/07/10          7.930          MC
020602         1972/07/11          7.900          MC
020602         1972/07/12          7.220          MC
020602         1972/07/13          6.570          MC
020602         1972/07/14          11.60          MC
020602         1972/07/15          12.10          MC
020602         1972/07/16          11.00          MC
020602         1972/07/17          15.90          MC
020602         1972/07/18          24.20          MC
020602         1972/07/19          20.40          MC
020602         1972/07/20          19.00          MC
020602         1972/07/21          16.10          MC
020602         1972/07/22          14.20          MC
020602         1972/07/23          12.30          MC
020602         1972/07/24          11.10          MC
020602         1972/07/25          10.10          MC
020602         1972/07/26          9.090          MC
020602         1972/07/27          8.240          MC
020602         1972/07/28          7.530          MC
020602         1972/07/29          7.050          J
020602         1972/07/30          6.570          MC
020602         1972/07/31          6.120          MC
020602         1972/08/01          6.060          MC
020602         1972/08/02          8.750          MC
020602         1972/08/03          7.190          MC
020602         1972/08/04          6.140          MC
020602         1972/08/05          5.490          MC
020602         1972/08/06          4.930          MC
020602         1972/08/07          4.640          MC
020602         1972/08/08          6.120          MC
020602         1972/08/09          13.30          MC
020602         1972/08/10          10.80          MC
020602         1972/08/11          21.90          MC
020602         1972/08/12          16.90          MC
020602         1972/08/13          14.30          MC
020602         1972/08/14          12.40          MC
020602         1972/08/15          10.90          MC
020602         1972/08/16          9.740          MC
020602         1972/08/17          8.720          MC
020602         1972/08/18          7.870          MC
020602         1972/08/19          8.660          MC
020602         1972/08/20          8.660          MC
020602         1972/08/21          7.390          MC
020602         1972/08/22          6.540          MC
020602         1972/08/23          6.290          MC
020602         1972/08/24          8.130          MC
020602         1972/08/25          7.310          MC
020602         1972/08/26          6.400          MC
020602         1972/08/27          5.780          MC
020602         1972/08/28          5.240          MC
020602         1972/08/29          5.150          MC
020602         1972/08/30          4.730          MC
020602         1972/08/31          4.390          MC
020602         1972/09/01          4.160          MC
020602         1972/09/02          3.940          MC
020602         1972/09/03          3.710          J
020602         1972/09/04          4.020          MC
020602         1972/09/05          7.330          MC
020602         1972/09/06          8.660          MC
020602         1972/09/07          7.360          MC
020602         1972/09/08          6.170          MC
020602         1972/09/09          6.400          MC
020602         1972/09/10          6.460          MC
020602         1972/09/11          5.640          MC
020602         1972/09/12          4.900          MC
020602         1972/09/13          4.420          MC
020602         1972/09/14          4.390          MC
020602         1972/09/15          4.470          MC
020602         1972/09/16          4.280          MC
020602         1972/09/17          3.940          MC
020602         1972/09/18          3.960          MC
020602         1972/09/19          3.960          MC
020602         1972/09/20          3.960          MC
020602         1972/09/21          3.820          MC
020602         1972/09/22          3.480          MC
020602         1972/09/23          3.170          MC
020602         1972/09/24          2.940          MC
020602         1972/09/25          2.800          MC
020602         1972/09/26          2.690          MC
020602         1972/09/27          2.830          MC
020602         1972/09/28          3.110          MC
020602         1972/09/29          3.110          MC
020602         1972/09/30          3.060          MC
020602         1972/10/01          3.110          MC
020602         1972/10/02          3.060          MC
020602         1972/10/03          2.800          MC
020602         1972/10/04          2.610          MC
020602         1972/10/05          2.490          MC
020602         1972/10/06          2.410          MC
020602         1972/10/07          2.320          MC
020602         1972/10/08          18.20          MC
020602         1972/10/09          18.20          MC
020602         1972/10/10          13.40          MC
020602         1972/10/11          11.30          MC
020602         1972/10/12          10.30          MC
020602         1972/10/13          9.510          MC
020602         1972/10/14          8.520          MC
020602         1972/10/15          8.210          MC
020602         1972/10/16          7.870          MC
020602         1972/10/17          7.500          MC
020602         1972/10/18          8.240          MC
020602         1972/10/19          7.560          MC
020602         1972/10/20          6.510          MC
020602         1972/10/21          5.970          MC
020602         1972/10/22          5.920          MC
020602         1972/10/23          5.660          MC
020602         1972/10/24          5.860          MC
020602         1972/10/25          5.580          MC
020602         1972/10/26          5.520          MC
020602         1972/10/27          5.520          MC
020602         1972/10/28          5.520          MC
020602         1972/10/29          8.610          MC
020602         1972/10/30          12.30          MC
020602         1972/10/31          10.20          MC
020602         1972/11/01          8.240          MC
020602         1972/11/02          8.300          MC
020602         1972/11/03          8.240          MC
020602         1972/11/04          7.140          MC
020602         1972/11/05          5.970          MC
020602         1972/11/06          8.270          MC
020602         1972/11/07          7.930          MC
020602         1972/11/08          6.800          MC
020602         1972/11/09          6.570          MC
020602         1972/11/10          6.120          MC
020602         1972/11/11          5.950          MC
020602         1972/11/12          5.660          MC
020602         1972/11/13          5.150          MC
020602         1972/11/14          5.010          MC
020602         1972/11/15          4.760          MC
020602         1972/11/16          4.050          MC
020602         1972/11/17          3.990          MC
020602         1972/11/18          3.480          MC
020602         1972/11/19          3.090          MC
020602         1972/11/20          2.890          MC
020602         1972/11/21          2.800          R
020602         1972/11/22          2.660          R
020602         1972/11/23          2.550          R
020602         1972/11/24          2.460          R
020602         1972/11/25          2.440          R
020602         1972/11/26          2.460          R
020602         1972/11/27          3.110          R
020602         1972/11/28          3.960          R
020602         1972/11/29          3.480          R
020602         1972/11/30          3.230          R
020602         1972/12/01          3.030          R
020602         1972/12/02          2.890          R
020602         1972/12/03          2.780          R
020602         1972/12/04          2.690          R
020602         1972/12/05          2.610          R
020602         1972/12/06          2.720          R
020602         1972/12/07          3.260          R
020602         1972/12/08          3.480          R
020602         1972/12/09          3.340          R
020602         1972/12/10          3.140          R
020602         1972/12/11          3.000          R
020602         1972/12/12          2.890          R
020602         1972/12/13          2.800          R
020602         1972/12/14          2.750          R
020602         1972/12/15          2.690          R
020602         1972/12/16          2.630          R
020602         1972/12/17          2.550          R
020602         1972/12/18          2.490          R
020602         1972/12/19          2.460          R
020602         1972/12/20          2.410          R
020602         1972/12/21          2.380          R
