Ministère de l'Environnement et de la Lutte contre les changements climatiques
Données validées jusqu'au 2019-09-30, préliminaires par la suite
Station:        021702         Blanche - à 3,5 km en amont du pont-route 132                                                                                                  
Bassin versant: 223 km²        Régime: Influencé journellement                           
Coordonnées:    (NAD83) 48° 46' 1" // -67° 39' 58"

Date de création du fichier: 2019-11-30 00:40
Particularité(s):
- Pour cette station, la localisation de l'abri de la station ne correspond pas à la localisation de la section de jaugeage principale où est déterminée la superficie du bassin versant.
- 
- 
Lexique:        E:  La donnée est estimée.
(Remarque)      J:  Un jaugeage a été exécuté à cette date.
                MC: La donnée représente un débit moyen converti.
                MJ: La donnée est une moyenne journalière.
                P:  La donnée est provisoire; P* : La donnée est provisoire et non estimée.
                PL: La donnée correspond à la première lecture de niveau d'eau de la journée.
                R:  Le débit est corrigé pour tenir compte de l'effet de refoulement.
                S:  La donnée est saisie manuellement.
                Z:  La donnée provient d'une redistribution temporelle des données enregistrées en raison d'une défectuosité de l'appareil de mesure.

Station        Date                Débit (m³/s)   Remarque
021702         1967/10/01          6.910          MC
021702         1967/10/02          5.750          MC
021702         1967/10/03          6.230          MC
021702         1967/10/04          6.820          MC
021702         1967/10/05          9.460          MC
021702         1967/10/06          10.60          MC
021702         1967/10/07          12.10          MC
021702         1967/10/08          13.10          MC
021702         1967/10/09          14.30          MC
021702         1967/10/10          14.70          MC
021702         1967/10/11          15.00          MC
021702         1967/10/12          12.00          MC
021702         1967/10/13          9.940          MC
021702         1967/10/14          8.520          MC
021702         1967/10/15          7.220          MC
021702         1967/10/16          6.430          MC
021702         1967/10/17          6.430          MC
021702         1967/10/18          6.510          MC
021702         1967/10/19          6.140          MC
021702         1967/10/20          5.580          MC
021702         1967/10/21          5.240          MC
021702         1967/10/22          4.640          MC
021702         1967/10/23          4.390          MC
021702         1967/10/24          3.570          MC
021702         1967/10/25          3.570          MC
021702         1967/10/26          3.370          MC
021702         1967/10/27          3.170          MC
021702         1967/10/28          2.830          MC
021702         1967/10/29          2.650          MC
021702         1967/10/30          2.650          MC
021702         1967/10/31          2.470          MC
021702         1967/11/01          2.420          MC
021702         1967/11/02          2.300          MC
021702         1967/11/03          2.300          MC
021702         1967/11/04          2.250          MC
021702         1967/11/05          2.190          MC
021702         1967/11/06          2.200          MC
021702         1967/11/07          2.110          MC
021702         1967/11/08          1.960          MC
021702         1967/11/09          1.970          MC
021702         1967/11/10          2.030          MC
021702         1967/11/11          2.040          MC
021702         1967/11/12          2.150          MC
021702         1967/11/13          2.220          MC
021702         1967/11/14          2.230          MC
021702         1967/11/15          2.130          MC
021702         1967/11/16          1.980          MC
021702         1967/11/17          1.890          MC
021702         1967/11/18          1.890          MC
021702         1967/11/19          1.800          MC
021702         1967/11/20          1.810          MC
021702         1967/11/21          2.020          MC
021702         1967/11/22          2.300          MC
021702         1967/11/23          2.470          MC
021702         1967/11/24          3.570          MC
021702         1967/11/25          4.790          MC
021702         1967/11/26          5.380          MC
021702         1967/11/27          4.790          MC
021702         1967/11/28          4.390          MC
021702         1967/11/29          3.770          MC
021702         1967/11/30          3.480          MC
021702         1967/12/01          3.340          MC
021702         1967/12/02          3.200          MC
021702         1967/12/03          3.060          MC
021702         1967/12/04          2.970          R
021702         1967/12/05          2.890          R
021702         1967/12/06          2.800          R
021702         1967/12/07          2.720          R
021702         1967/12/08          2.630          R
021702         1967/12/09          2.580          R
021702         1967/12/10          2.520          R
021702         1967/12/11          2.440          R
021702         1967/12/12          2.380          R
021702         1967/12/13          2.320          R
021702         1967/12/14          2.250          R
021702         1967/12/15          2.190          R
021702         1967/12/16          2.170          R
021702         1967/12/17          2.100          R
021702         1967/12/18          2.040          R
021702         1967/12/19          2.000          J
021702         1967/12/20          1.980          R
021702         1967/12/21          1.910          R
021702         1967/12/22          1.870          R
021702         1967/12/23          1.840          R
021702         1967/12/24          1.780          R
021702         1967/12/25          1.760          R
021702         1967/12/26          1.710          R
021702         1967/12/27          1.670          R
021702         1967/12/28          1.640          R
021702         1967/12/29          1.610          R
021702         1967/12/30          1.560          R
021702         1967/12/31          1.530          R
021702         1968/01/01          1.470          R
021702         1968/01/02          1.440          R
021702         1968/01/03          1.390          R
021702         1968/01/04          1.360          R
021702         1968/01/05          1.330          R
021702         1968/01/06          1.300          R
021702         1968/01/07          1.270          R
021702         1968/01/08          1.230          R
021702         1968/01/09          1.200          R
021702         1968/01/10          1.180          R
021702         1968/01/11          1.150          R
021702         1968/01/12          1.120          R
021702         1968/01/13          1.100          R
021702         1968/01/14          1.080          R
021702         1968/01/15          1.060          R
021702         1968/01/16          1.040          R
021702         1968/01/17          1.020          R
021702         1968/01/18          1.000          R
021702         1968/01/19          0.990          R
021702         1968/01/20          0.960          R
021702         1968/01/21          0.950          R
021702         1968/01/22          0.930          R
021702         1968/01/23          0.920          R
021702         1968/01/24          0.900          R
021702         1968/01/25          0.890          R
021702         1968/01/26          0.880          R
021702         1968/01/27          0.860          R
021702         1968/01/28          0.850          R
021702         1968/01/29          0.840          R
021702         1968/01/30          0.830          R
021702         1968/01/31          0.820          R
021702         1968/02/01          0.820          J
021702         1968/02/02          0.820          R
021702         1968/02/03          0.840          R
021702         1968/02/04          1.130          R
021702         1968/02/05          5.100          R
021702         1968/02/06          5.380          R
021702         1968/02/07          5.100          R
021702         1968/02/08          4.620          R
021702         1968/02/09          4.110          R
021702         1968/02/10          3.540          R
021702         1968/02/11          3.340          R
021702         1968/02/12          2.690          R
021702         1968/02/13          2.380          R
021702         1968/02/14          2.150          R
021702         1968/02/15          1.930          R
021702         1968/02/16          1.700          R
021702         1968/02/17          1.530          R
021702         1968/02/18          1.420          R
021702         1968/02/19          1.300          R
021702         1968/02/20          1.220          R
021702         1968/02/21          1.130          R
021702         1968/02/22          1.080          R
021702         1968/02/23          1.020          R
021702         1968/02/24          0.980          R
021702         1968/02/25          0.930          R
021702         1968/02/26          0.890          R
021702         1968/02/27          0.840          R
021702         1968/02/28          0.790          R
021702         1968/02/29          0.790          R
021702         1968/03/01          0.720          R
021702         1968/03/02          0.700          R
021702         1968/03/03          0.670          R
021702         1968/03/04          0.640          R
021702         1968/03/05          0.620          R
021702         1968/03/06          0.590          J
021702         1968/03/07          0.570          R
021702         1968/03/08          0.560          R
021702         1968/03/09          0.540          R
021702         1968/03/10          0.530          R
021702         1968/03/11          0.520          R
021702         1968/03/12          0.500          R
021702         1968/03/13          0.490          R
021702         1968/03/14          0.480          R
021702         1968/03/15          0.540          R
021702         1968/03/16          0.610          R
021702         1968/03/17          0.710          R
021702         1968/03/18          1.050          R
021702         1968/03/19          1.100          R
021702         1968/03/20          1.560          R
021702         1968/03/21          2.320          R
021702         1968/03/22          2.180          R
021702         1968/03/23          2.100          R
021702         1968/03/24          2.240          R
021702         1968/03/25          2.410          R
021702         1968/03/26          2.610          R
021702         1968/03/27          3.540          R
021702         1968/03/28          4.110          R
021702         1968/03/29          4.810          R
021702         1968/03/30          7.080          R
021702         1968/03/31          9.910          R
021702         1968/04/01          12.50          R
021702         1968/04/02          14.40          R
021702         1968/04/03          10.50          R
021702         1968/04/04          9.340          R
021702         1968/04/05          8.500          R
021702         1968/04/06          10.90          R
021702         1968/04/07          10.60          R
021702         1968/04/08          10.20          R
021702         1968/04/09          10.20          R
021702         1968/04/10          28.30          MC
021702         1968/04/11          21.00          MC
021702         1968/04/12          16.60          MC
021702         1968/04/13          20.30          MC
021702         1968/04/14          34.30          MC
021702         1968/04/15          42.80          MC
021702         1968/04/16          59.20          MC
021702         1968/04/17          49.30          MC
021702         1968/04/18          43.00          MC
021702         1968/04/19          41.10          MC
021702         1968/04/20          45.30          MC
021702         1968/04/21          49.00          MC
021702         1968/04/22          51.80          MC
021702         1968/04/23          50.40          MC
021702         1968/04/24          49.00          MC
021702         1968/04/25          52.70          MC
021702         1968/04/26          65.10          MC
021702         1968/04/27          54.40          MC
021702         1968/04/28          45.00          MC
021702         1968/04/29          36.00          MC
021702         1968/04/30          21.40          J
021702         1968/05/01          18.70          MC
021702         1968/05/02          17.90          MC
021702         1968/05/03          17.60          J
021702         1968/05/04          16.50          MC
021702         1968/05/05          14.90          MC
021702         1968/05/06          13.50          J
021702         1968/05/07          12.60          MC
021702         1968/05/08          11.70          MC
021702         1968/05/09          11.00          MC
021702         1968/05/10          11.50          MC
021702         1968/05/11          11.90          MC
021702         1968/05/12          11.20          MC
021702         1968/05/13          10.30          MC
021702         1968/05/14          9.260          MC
021702         1968/05/15          8.610          MC
021702         1968/05/16          8.100          MC
021702         1968/05/17          7.500          MC
021702         1968/05/18          6.880          MC
021702         1968/05/19          6.370          MC
021702         1968/05/20          6.000          MC
021702         1968/05/21          5.660          MC
021702         1968/05/22          5.100          E
021702         1968/05/23          4.590          E
021702         1968/05/24          4.250          E
021702         1968/05/25          3.680          E
021702         1968/05/26          3.260          E
021702         1968/05/27          2.830          E
021702         1968/05/28          2.300          MC
021702         1968/05/29          2.060          MC
021702         1968/05/30          1.880          MC
021702         1968/05/31          1.870          MC
021702         1968/06/01          1.930          MC
021702         1968/06/02          1.930          MC
021702         1968/06/03          2.120          MC
021702         1968/06/04          2.300          MC
021702         1968/06/05          2.260          MC
021702         1968/06/06          2.040          MC
021702         1968/06/07          1.750          MC
021702         1968/06/08          1.480          MC
021702         1968/06/09          1.310          MC
021702         1968/06/10          1.140          MC
021702         1968/06/11          1.020          MC
021702         1968/06/12          0.920          MC
021702         1968/06/13          0.870          MC
021702         1968/06/14          0.800          MC
021702         1968/06/15          0.740          MC
021702         1968/06/16          0.770          MC
021702         1968/06/17          0.780          MC
021702         1968/06/18          0.730          MC
021702         1968/06/19          0.690          MC
021702         1968/06/20          0.850          MC
021702         1968/06/21          1.880          MC
021702         1968/06/22          2.770          MC
021702         1968/06/23          2.230          MC
021702         1968/06/24          1.660          MC
021702         1968/06/25          1.460          MC
021702         1968/06/26          1.210          MC
021702         1968/06/27          0.990          MC
021702         1968/06/28          0.830          MC
021702         1968/06/29          1.610          MC
021702         1968/06/30          2.430          MC
021702         1968/07/01          2.160          MC
021702         1968/07/02          1.640          MC
021702         1968/07/03          1.400          MC
021702         1968/07/04          1.270          MC
021702         1968/07/05          1.240          MC
021702         1968/07/06          1.080          MC
021702         1968/07/07          1.490          MC
021702         1968/07/08          1.580          MC
021702         1968/07/09          1.430          MC
021702         1968/07/10          1.320          MC
021702         1968/07/11          1.210          MC
021702         1968/07/12          1.010          MC
021702         1968/07/13          0.860          MC
021702         1968/07/14          0.820          MC
021702         1968/07/15          0.830          MC
021702         1968/07/16          0.970          MC
021702         1968/07/17          0.930          MC
021702         1968/07/18          0.770          MC
021702         1968/07/19          0.730          J
021702         1968/07/20          0.680          MC
021702         1968/07/21          0.650          MC
021702         1968/07/22          0.650          MC
021702         1968/07/23          0.650          MC
021702         1968/07/24          0.620          MC
021702         1968/07/25          0.560          MC
021702         1968/07/26          0.570          MC
021702         1968/07/27          0.580          MC
021702         1968/07/28          0.560          MC
021702         1968/07/29          0.550          MC
021702         1968/07/30          0.550          MC
021702         1968/07/31          0.500          MC
021702         1968/08/01          0.500          MC
021702         1968/08/02          0.490          MC
021702         1968/08/03          0.450          MC
021702         1968/08/04          0.410          MC
021702         1968/08/05          0.450          MC
021702         1968/08/06          0.430          MC
021702         1968/08/07          0.410          MC
021702         1968/08/08          0.400          MC
021702         1968/08/09          0.420          MC
021702         1968/08/10          0.390          MC
021702         1968/08/11          0.350          MC
021702         1968/08/12          0.410          MC
021702         1968/08/13          0.420          MC
021702         1968/08/14          0.430          MC
021702         1968/08/15          0.460          MC
021702         1968/08/16          0.450          MC
021702         1968/08/17          0.450          MC
021702         1968/08/18          0.450          MC
021702         1968/08/19          0.440          MC
021702         1968/08/20          0.420          MC
021702         1968/08/21          0.520          MC
021702         1968/08/22          0.580          MC
021702         1968/08/23          0.560          MC
021702         1968/08/24          0.550          MC
021702         1968/08/25          0.690          MC
021702         1968/08/26          1.100          MC
021702         1968/08/27          1.180          MC
021702         1968/08/28          0.970          MC
021702         1968/08/29          0.770          MC
021702         1968/08/30          0.670          MC
021702         1968/08/31          0.630          MC
021702         1968/09/01          0.630          MC
021702         1968/09/02          0.570          MC
021702         1968/09/03          0.530          MC
021702         1968/09/04          0.510          MC
021702         1968/09/05          0.510          MC
021702         1968/09/06          0.500          MC
021702         1968/09/07          0.470          MC
021702         1968/09/08          0.440          MC
021702         1968/09/09          0.480          MC
021702         1968/09/10          0.460          MC
021702         1968/09/11          0.440          MC
021702         1968/09/12          0.450          MC
021702         1968/09/13          0.460          MC
021702         1968/09/14          0.420          MC
021702         1968/09/15          0.400          MC
021702         1968/09/16          0.460          MC
021702         1968/09/17          0.420          MC
021702         1968/09/18          0.400          MC
021702         1968/09/19          0.380          MC
021702         1968/09/20          0.400          MC
021702         1968/09/21          0.420          MC
021702         1968/09/22          0.410          MC
021702         1968/09/23          0.390          MC
021702         1968/09/24          0.380          MC
021702         1968/09/25          0.420          MC
021702         1968/09/26          0.400          MC
021702         1968/09/27          0.420          MC
021702         1968/09/28          0.410          MC
021702         1968/09/29          0.450          MC
021702         1968/09/30          0.440          MC
021702         1968/10/01          0.450          MC
021702         1968/10/02          0.440          MC
021702         1968/10/03          0.420          MC
021702         1968/10/04          0.500          MC
021702         1968/10/05          0.500          MC
021702         1968/10/06          0.520          MC
021702         1968/10/07          0.500          MC
021702         1968/10/08          0.470          MC
021702         1968/10/09          0.460          MC
021702         1968/10/10          0.450          MC
021702         1968/10/11          0.440          MC
021702         1968/10/12          0.450          MC
021702         1968/10/13          0.380          MC
021702         1968/10/14          0.430          MC
021702         1968/10/15          0.460          MC
021702         1968/10/16          0.470          MC
021702         1968/10/17          0.450          MC
021702         1968/10/18          0.470          MC
021702         1968/10/19          0.470          MC
021702         1968/10/20          0.450          MC
021702         1968/10/21          0.800          MC
021702         1968/10/22          1.830          MC
021702         1968/10/23          1.420          E
021702         1968/10/24          1.310          MC
021702         1968/10/25          1.230          MC
021702         1968/10/26          1.180          MC
021702         1968/10/27          1.710          MC
021702         1968/10/28          2.040          MC
021702         1968/10/29          2.040          MC
021702         1968/10/30          2.020          MC
021702         1968/10/31          1.830          MC
021702         1968/11/01          1.640          MC
021702         1968/11/02          1.530          MC
021702         1968/11/03          1.510          MC
021702         1968/11/04          1.470          MC
021702         1968/11/05          1.420          MC
021702         1968/11/06          1.370          MC
021702         1968/11/07          1.300          MC
021702         1968/11/08          1.190          MC
021702         1968/11/09          1.070          MC
021702         1968/11/10          0.970          MC
021702         1968/11/11          0.990          MC
021702         1968/11/12          0.850          MC
021702         1968/11/13          0.920          MC
021702         1968/11/14          0.880          MC
021702         1968/11/15          1.030          MC
021702         1968/11/16          0.970          MC
021702         1968/11/17          1.010          MC
021702         1968/11/18          0.940          MC
021702         1968/11/19          0.790          MC
021702         1968/11/20          0.940          MC
021702         1968/11/21          0.970          MC
021702         1968/11/22          0.930          MC
021702         1968/11/23          0.910          MC
021702         1968/11/24          0.890          MC
021702         1968/11/25          0.920          MC
021702         1968/11/26          0.950          MC
021702         1968/11/27          0.930          MC
021702         1968/11/28          0.940          MC
021702         1968/11/29          0.930          MC
021702         1968/11/30          0.870          MC
021702         1968/12/01          0.930          MC
021702         1968/12/02          0.950          MC
021702         1968/12/03          0.940          MC
021702         1968/12/04          0.870          MC
021702         1968/12/05          1.000          MC
021702         1968/12/06          0.960          R
021702         1968/12/07          0.910          R
021702         1968/12/08          0.850          R
021702         1968/12/09          0.810          R
021702         1968/12/10          0.780          R
021702         1968/12/11          0.770          R
021702         1968/12/12          0.770          R
021702         1968/12/13          0.910          R
021702         1968/12/14          1.080          R
021702         1968/12/15          1.390          R
021702         1968/12/16          1.470          R
021702         1968/12/17          1.440          R
021702         1968/12/18          1.390          R
021702         1968/12/19          1.360          R
021702         1968/12/20          1.330          R
021702         1968/12/21          1.320          R
021702         1968/12/22          1.300          R
021702         1968/12/23          1.270          R
021702         1968/12/24          1.250          R
021702         1968/12/25          1.230          R
021702         1968/12/26          1.220          R
021702         1968/12/27          1.190          R
021702         1968/12/28          1.180          R
021702         1968/12/29          1.160          R
021702         1968/12/30          1.150          R
021702         1968/12/31          1.130          R
021702         1969/01/01          1.130          R
021702         1969/01/02          1.130          R
021702         1969/01/03          1.120          R
021702         1969/01/04          1.110          R
021702         1969/01/05          1.100          R
021702         1969/01/06          1.090          R
021702         1969/01/07          1.080          R
021702         1969/01/08          1.080          R
021702         1969/01/09          1.080          R
021702         1969/01/10          1.070          R
021702         1969/01/11          1.060          R
021702         1969/01/12          1.050          R
021702         1969/01/13          1.050          R
021702         1969/01/14          1.040          R
021702         1969/01/15          1.030          R
021702         1969/01/16          1.030          R
021702         1969/01/17          1.020          R
021702         1969/01/18          1.020          R
021702         1969/01/19          1.020          R
021702         1969/01/20          1.020          R
021702         1969/01/21          1.020          J
021702         1969/01/22          1.020          R
021702         1969/01/23          1.030          R
021702         1969/01/24          1.130          R
021702         1969/01/25          1.250          R
021702         1969/01/26          1.300          R
021702         1969/01/27          1.260          R
021702         1969/01/28          1.230          R
021702         1969/01/29          1.190          R
021702         1969/01/30          1.150          R
021702         1969/01/31          1.110          R
021702         1969/02/01          1.080          R
021702         1969/02/02          1.060          R
021702         1969/02/03          1.050          R
021702         1969/02/04          1.020          R
021702         1969/02/05          0.990          R
021702         1969/02/06          0.980          R
021702         1969/02/07          0.960          R
021702         1969/02/08          0.930          R
021702         1969/02/09          0.910          R
021702         1969/02/10          0.900          R
021702         1969/02/11          0.880          R
021702         1969/02/12          0.870          R
021702         1969/02/13          0.850          R
021702         1969/02/14          0.840          R
021702         1969/02/15          0.820          R
021702         1969/02/16          0.800          R
021702         1969/02/17          0.790          R
021702         1969/02/18          0.780          R
021702         1969/02/19          0.770          R
021702         1969/02/20          0.760          R
021702         1969/02/21          0.750          R
021702         1969/02/22          0.740          R
021702         1969/02/23          0.740          R
021702         1969/02/24          0.730          R
021702         1969/02/25          0.720          R
021702         1969/02/26          0.710          J
021702         1969/02/27          0.700          R
021702         1969/02/28          0.690          R
021702         1969/03/01          0.660          R
021702         1969/03/02          0.650          R
021702         1969/03/03          0.630          R
021702         1969/03/04          0.610          R
021702         1969/03/05          0.590          R
021702         1969/03/06          0.570          R
021702         1969/03/07          0.550          R
021702         1969/03/08          0.540          R
021702         1969/03/09          0.520          R
021702         1969/03/10          0.500          R
021702         1969/03/11          0.490          R
021702         1969/03/12          0.480          R
021702         1969/03/13          0.460          R
021702         1969/03/14          0.460          R
021702         1969/03/15          0.450          R
021702         1969/03/16          0.440          R
021702         1969/03/17          0.440          R
021702         1969/03/18          0.440          R
021702         1969/03/19          0.440          J
021702         1969/03/20          0.450          R
021702         1969/03/21          0.450          R
021702         1969/03/22          0.460          R
021702         1969/03/23          0.510          R
021702         1969/03/24          0.710          R
021702         1969/03/25          0.960          R
021702         1969/03/26          1.190          R
021702         1969/03/27          1.490          R
021702         1969/03/28          1.780          R
021702         1969/03/29          2.210          R
021702         1969/03/30          2.450          R
021702         1969/03/31          2.440          R
021702         1969/04/01          2.350          R
021702         1969/04/02          2.270          R
021702         1969/04/03          2.190          R
021702         1969/04/04          2.120          R
021702         1969/04/05          2.080          R
021702         1969/04/06          2.020          R
021702         1969/04/07          1.980          R
021702         1969/04/08          1.980          R
021702         1969/04/09          2.270          R
021702         1969/04/10          4.530          R
021702         1969/04/11          5.720          MC
021702         1969/04/12          6.940          MC
021702         1969/04/13          8.720          MC
021702         1969/04/14          8.860          MC
021702         1969/04/15          9.800          MC
021702         1969/04/16          11.20          MC
021702         1969/04/17          14.80          MC
021702         1969/04/18          22.50          MC
021702         1969/04/19          23.40          MC
021702         1969/04/20          21.80          MC
021702         1969/04/21          20.20          MC
021702         1969/04/22          17.50          MC
021702         1969/04/23          14.70          MC
021702         1969/04/24          13.10          MC
021702         1969/04/25          12.30          MC
021702         1969/04/26          12.30          MC
021702         1969/04/27          13.80          MC
021702         1969/04/28          14.30          MC
021702         1969/04/29          15.00          MC
021702         1969/04/30          18.40          MC
021702         1969/05/01          21.50          MC
021702         1969/05/02          23.90          MC
021702         1969/05/03          26.50          MC
021702         1969/05/04          26.40          MC
021702         1969/05/05          28.30          MC
021702         1969/05/06          23.70          MC
021702         1969/05/07          23.90          MC
021702         1969/05/08          30.60          MC
021702         1969/05/09          51.80          MC
021702         1969/05/10          61.20          MC
021702         1969/05/11          45.00          MC
021702         1969/05/12          36.00          MC
021702         1969/05/13          30.90          J
021702         1969/05/14          23.80          MC
021702         1969/05/15          22.00          J
021702         1969/05/16          20.20          MC
021702         1969/05/17          19.20          MC
021702         1969/05/18          20.50          MC
021702         1969/05/19          21.40          MC
021702         1969/05/20          28.90          MC
021702         1969/05/21          22.10          MC
021702         1969/05/22          15.60          MC
021702         1969/05/23          12.30          MC
021702         1969/05/24          10.10          MC
021702         1969/05/25          8.580          MC
021702         1969/05/26          6.910          MC
021702         1969/05/27          5.640          MC
021702         1969/05/28          4.700          MC
021702         1969/05/29          4.530          MC
021702         1969/05/30          4.130          MC
021702         1969/05/31          3.910          MC
021702         1969/06/01          3.600          MC
021702         1969/06/02          3.030          MC
021702         1969/06/03          2.770          MC
021702         1969/06/04          2.970          MC
021702         1969/06/05          2.600          MC
021702         1969/06/06          2.080          MC
021702         1969/06/07          1.840          MC
021702         1969/06/08          1.520          MC
021702         1969/06/09          1.200          MC
021702         1969/06/10          1.010          MC
021702         1969/06/11          0.880          MC
021702         1969/06/12          0.740          MC
021702         1969/06/13          0.710          MC
021702         1969/06/14          0.740          MC
021702         1969/06/15          0.900          MC
021702         1969/06/16          0.880          MC
021702         1969/06/17          0.790          MC
021702         1969/06/18          0.720          MC
021702         1969/06/19          0.670          MC
021702         1969/06/20          0.750          MC
021702         1969/06/21          0.810          MC
021702         1969/06/22          0.700          MC
021702         1969/06/23          0.620          MC
021702         1969/06/24          0.560          MC
021702         1969/06/25          0.550          MC
021702         1969/06/26          0.570          MC
021702         1969/06/27          0.580          MC
021702         1969/06/28          0.540          MC
021702         1969/06/29          0.500          MC
021702         1969/06/30          0.430          MC
021702         1969/07/01          0.410          MC
021702         1969/07/02          0.390          MC
021702         1969/07/03          0.380          MC
021702         1969/07/04          0.380          MC
021702         1969/07/05          0.380          MC
021702         1969/07/06          0.430          MC
021702         1969/07/07          0.430          MC
021702         1969/07/08          0.400          MC
021702         1969/07/09          0.380          MC
021702         1969/07/10          0.350          MC
021702         1969/07/11          0.340          MC
021702         1969/07/12          0.390          MC
021702         1969/07/13          0.420          MC
021702         1969/07/14          0.450          MC
021702         1969/07/15          0.450          MC
021702         1969/07/16          0.480          MC
021702         1969/07/17          0.500          MC
021702         1969/07/18          0.450          MC
021702         1969/07/19          0.430          MC
021702         1969/07/20          0.420          MC
021702         1969/07/21          0.370          MC
021702         1969/07/22          0.370          MC
021702         1969/07/23          0.440          MC
021702         1969/07/24          0.390          MC
021702         1969/07/25          0.350          MC
021702         1969/07/26          0.350          MC
021702         1969/07/27          0.380          MC
021702         1969/07/28          0.390          MC
021702         1969/07/29          0.690          MC
021702         1969/07/30          1.210          MC
021702         1969/07/31          1.660          MC
021702         1969/08/01          1.290          MC
021702         1969/08/02          1.050          MC
021702         1969/08/03          2.680          MC
021702         1969/08/04          2.460          MC
021702         1969/08/05          1.720          MC
021702         1969/08/06          2.000          MC
021702         1969/08/07          1.820          MC
021702         1969/08/08          1.560          MC
021702         1969/08/09          2.340          MC
021702         1969/08/10          2.400          MC
021702         1969/08/11          1.840          MC
021702         1969/08/12          1.460          J
021702         1969/08/13          1.270          MC
021702         1969/08/14          1.200          MC
021702         1969/08/15          1.070          MC
021702         1969/08/16          1.040          MC
021702         1969/08/17          1.100          MC
021702         1969/08/18          2.010          MC
021702         1969/08/19          2.920          MC
021702         1969/08/20          7.590          MC
021702         1969/08/21          5.890          MC
021702         1969/08/22          4.050          MC
021702         1969/08/23          2.830          MC
021702         1969/08/24          2.230          MC
021702         1969/08/25          1.850          MC
021702         1969/08/26          1.550          MC
021702         1969/08/27          1.380          MC
021702         1969/08/28          1.210          MC
021702         1969/08/29          1.230          MC
021702         1969/08/30          1.260          MC
021702         1969/08/31          1.260          MC
021702         1969/09/01          1.260          MC
021702         1969/09/02          1.170          MC
021702         1969/09/03          1.050          MC
021702         1969/09/04          0.940          MC
021702         1969/09/05          0.850          MC
021702         1969/09/06          0.810          MC
021702         1969/09/07          1.150          MC
021702         1969/09/08          1.370          MC
021702         1969/09/09          2.500          MC
021702         1969/09/10          18.60          MC
021702         1969/09/11          19.10          MC
021702         1969/09/12          13.60          MC
021702         1969/09/13          10.70          MC
021702         1969/09/14          6.540          MC
021702         1969/09/15          6.170          MC
021702         1969/09/16          5.640          MC
021702         1969/09/17          5.470          MC
021702         1969/09/18          4.790          MC
021702         1969/09/19          4.300          MC
021702         1969/09/20          4.250          MC
021702         1969/09/21          4.020          MC
021702         1969/09/22          3.880          MC
021702         1969/09/23          3.650          MC
021702         1969/09/24          3.540          MC
021702         1969/09/25          3.400          MC
021702         1969/09/26          3.340          MC
021702         1969/09/27          3.430          MC
021702         1969/09/28          3.370          MC
021702         1969/09/29          3.510          MC
021702         1969/09/30          3.510          MC
021702         1969/10/01          3.400          MC
021702         1969/10/02          3.260          MC
021702         1969/10/03          3.200          MC
021702         1969/10/04          3.090          MC
021702         1969/10/05          3.000          MC
021702         1969/10/06          3.060          MC
021702         1969/10/07          2.780          MC
021702         1969/10/08          2.600          MC
021702         1969/10/09          2.550          MC
021702         1969/10/10          2.380          MC
021702         1969/10/11          2.330          MC
021702         1969/10/12          2.230          MC
021702         1969/10/13          2.070          MC
021702         1969/10/14          2.020          MC
021702         1969/10/15          2.140          MC
021702         1969/10/16          2.250          J
021702         1969/10/17          2.170          MC
021702         1969/10/18          2.250          MC
021702         1969/10/19          2.340          MC
021702         1969/10/20          2.180          MC
021702         1969/10/21          2.020          MC
021702         1969/10/22          1.920          MC
021702         1969/10/23          1.770          MC
021702         1969/10/24          1.670          MC
021702         1969/10/25          1.600          MC
021702         1969/10/26          1.580          MC
021702         1969/10/27          1.580          MC
021702         1969/10/28          1.680          MC
021702         1969/10/29          1.720          MC
021702         1969/10/30          1.680          MC
021702         1969/10/31          1.650          MC
021702         1969/11/01          1.520          MC
021702         1969/11/02          1.490          MC
021702         1969/11/03          1.490          MC
021702         1969/11/04          1.490          MC
021702         1969/11/05          1.700          MC
021702         1969/11/06          7.020          MC
021702         1969/11/07          8.100          MC
021702         1969/11/08          6.970          MC
021702         1969/11/09          6.310          MC
021702         1969/11/10          5.800          MC
021702         1969/11/11          5.690          MC
021702         1969/11/12          5.520          MC
021702         1969/11/13          7.310          MC
021702         1969/11/14          10.30          MC
021702         1969/11/15          9.850          MC
021702         1969/11/16          9.880          MC
021702         1969/11/17          8.690          MC
021702         1969/11/18          7.730          MC
021702         1969/11/19          7.080          MC
021702         1969/11/20          7.190          MC
021702         1969/11/21          7.500          MC
021702         1969/11/22          6.770          MC
021702         1969/11/23          6.140          MC
021702         1969/11/24          5.380          MC
021702         1969/11/25          4.930          MC
021702         1969/11/26          4.590          R
021702         1969/11/27          4.300          R
021702         1969/11/28          4.020          R
021702         1969/11/29          3.960          R
021702         1969/11/30          3.910          R
021702         1969/12/01          3.680          R
021702         1969/12/02          3.480          R
021702         1969/12/03          3.340          R
021702         1969/12/04          3.170          R
021702         1969/12/05          3.140          R
021702         1969/12/06          3.110          R
021702         1969/12/07          3.110          R
021702         1969/12/08          3.110          R
021702         1969/12/09          3.110          R
021702         1969/12/10          3.110          R
021702         1969/12/11          3.680          R
021702         1969/12/12          8.100          R
021702         1969/12/13          7.990          R
021702         1969/12/14          6.850          R
021702         1969/12/15          5.970          R
021702         1969/12/16          5.830          R
021702         1969/12/17          5.240          R
